source_path,compatibility_status,proposed_category,proposed_subcategory,proposed_final_path,routing_role,placement_confidence,placement_basis,placement_concern,future_structure_candidate
task-folder/agents/skills/design/designer-skills-main/design-research/skills/summarize-interview,Approved and supported,design-and-experience,design-systems,task-folder/agents/skills/design-and-experience/design-systems/summarize-interview,child_skill,high,"Primary outcome is component design systems, tokens, UI kits, and Figma/Tailwind libraries.",None,merge_candidate
task-folder/agents/skills/design/designer-skills-main/design-research/skills/empathy-map,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/empathy-map,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/design/designer-skills-main/design-research/skills/jobs-to-be-done,Approved and supported,design-and-experience,motion-and-graphics,task-folder/agents/skills/design-and-experience/motion-and-graphics/jobs-to-be-done,child_skill,high,"Primary outcome is visual motion, 3D rendering, canvas animations, and interactive graphics.",None,none
task-folder/agents/skills/design/designer-skills-main/design-research/skills/card-sort-analysis,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/card-sort-analysis,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/design-research/skills/survey-design,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/survey-design,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/design-research/skills/usability-test-plan,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/usability-test-plan,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/design-research/skills/user-persona,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/user-persona,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/ux-strategy/skills/design-principles,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/design-principles,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/ux-strategy/skills/design-brief,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/design-design-brief,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/ux-strategy/skills/stakeholder-alignment,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/stakeholder-alignment,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/ux-strategy/skills/experience-map,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/experience-map,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/design/designer-skills-main/ux-strategy/skills/north-star-vision,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/north-star-vision,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/ux-strategy/skills/metrics-definition,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/metrics-definition,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/ux-strategy/skills/opportunity-framework,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/opportunity-framework,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/ux-strategy/skills/service-blueprint,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/service-blueprint,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/ux-strategy/skills/content-strategy,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/content-strategy,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/ux-strategy/skills/competitive-analysis,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/competitive-analysis,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/design/designer-skills-main/ux-strategy/skills/information-architecture,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/information-architecture,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/designer-toolkit/skills/design-token-audit,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/design-token-audit,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/design/designer-skills-main/designer-toolkit/skills/design-system-adoption,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/design-system-adoption,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/design/designer-skills-main/designer-toolkit/skills/ux-writing,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/ux-writing,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/design/designer-skills-main/designer-toolkit/skills/case-study,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/case-study,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/designer-toolkit/skills/presentation-deck,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/presentation-deck,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/designer-toolkit/skills/design-rationale,Approved and supported,design-and-experience,ui-ux,task-folder/agents/skills/design-and-experience/ui-ux/design-rationale,child_skill,high,"Primary outcome is UI layout, user experience wireframing, and visual interaction design.",None,none
task-folder/agents/skills/design/designer-skills-main/designer-toolkit/skills/design-negotiation,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/design-negotiation,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
